time_ms,node_id,name,type,ecef_x,ecef_y,ecef_z,altitude_km,orbit_id,ip,norad_id,distance_km,radius_km
360000,SAT_60935,STARLINK-11253 [DTC],SAT,-1383261.59,5686411.16,3330540.03,360.7,-1,10.0.3.245,60935,362.42,6733.586072693679
360000,SAT_62898,STARLINK-32902,SAT,-1296737.36,5817375.8,3390486.36,484.13,-1,10.0.3.168,62898,505.14,6857.024627095301
360000,SAT_66404,STARLINK-35691,SAT,-1510593.5,5627340.9,3599158.37,476.35,-1,10.0.3.104,66404,531.74,6848.561841685896
360000,SAT_57925,STARLINK-30452,SAT,-1397570.86,5805154.97,3469031.87,532.87,-1,10.0.3.40,57925,535.64,6905.592708052839
360000,SAT_64911,STARLINK-34718,SAT,-1685562.58,5728856.5,3354339.06,476.28,-1,10.0.3.141,64911,536.39,6849.270657386098
360000,SAT_55455,STARLINK-5680,SAT,-1337674.32,5883404.07,3414697.56,559.89,-1,10.0.3.120,55455,573.51,6932.8187242672075
360000,SAT_55287,STARLINK-5341,SAT,-1359902.98,5874185.27,3455112.77,576.5,-1,10.0.3.207,55287,584.21,6949.3303961399715
360000,SAT_48370,STARLINK-2621,SAT,-1672450.73,5866185.01,3114340.22,475.27,-1,10.0.3.175,48370,605.9,6848.965835929967
360000,SAT_67339,STARLINK-36451,SAT,-1276515.12,5602190.13,3739471.72,483.73,-1,10.0.3.19,67339,619.57,6855.484946299407
360000,SAT_63194,STARLINK-11636 [DTC],SAT,-904924.01,5791231.99,3301470.1,354.36,-1,10.0.3.209,63194,621.62,6727.329354734155
360000,SAT_54080,STARLINK-5160,SAT,-1187686.09,5767257.21,3622805.12,541.26,-1,10.0.3.20,54080,623.86,6913.506412246587
360000,SAT_59943,STARLINK-31973,SAT,-1830118.14,5767684.42,3225394.05,483.63,-1,10.0.3.18,59943,638.97,6857.017044812065
360000,SAT_58748,STARLINK-31165,SAT,-1751193.44,5867553.4,3122384.31,499.73,-1,10.0.3.98,58748,653.15,6873.437651240082
360000,SAT_59756,STARLINK-11131 [DTC],SAT,-844170.58,5804353.8,3308154.48,361.06,-1,10.0.3.86,59756,675.15,6734.02057223291
360000,SAT_62474,STARLINK-11502 [DTC],SAT,-1987316.25,5592527.02,3171894.91,356.17,-1,10.0.3.254,62474,688.69,6729.53948402326
360000,SAT_58154,STARLINK-30797,SAT,-1419890.18,5471007.26,3866878.47,477.11,-1,10.0.3.14,58154,709.19,6848.412784286785
360000,SAT_62447,STARLINK-32730,SAT,-1034601.34,5618396.43,3776273.9,476.53,-1,10.0.3.227,62447,723.25,6848.140108466513
360000,SAT_60446,STARLINK-32247,SAT,-931958.08,5977864.5,3213439.0,477.1,-1,10.0.3.11,60446,736.62,6850.518232218533
360000,SAT_60445,STARLINK-32228,SAT,-2003382.42,5727023.04,3178692.62,476.04,-1,10.0.3.10,60445,758.25,6849.556247954926
360000,SAT_54055,STARLINK-5158,SAT,-1164848.93,6094261.6,3051276.26,540.32,-1,10.0.3.250,54055,759.41,6914.273952758619
360000,SAT_65689,STARLINK-34875,SAT,-1266458.68,6088820.72,2872582.31,476.14,-1,10.0.3.154,65689,786.52,6850.502498078049
360000,SAT_57931,STARLINK-30488,SAT,-1865089.98,5521340.91,3753699.26,560.25,-1,10.0.3.46,57931,801.85,6932.100995546774
360000,SAT_67513,STARLINK-36531,SAT,-805110.06,5713569.1,3703956.43,484.68,-1,10.0.3.193,67513,830.55,6856.556519458318
360000,SAT_47745,STARLINK-2159,SAT,-988009.93,6089864.24,2936244.25,458.41,-1,10.0.3.60,47745,838.64,6832.579335731672
360000,SAT_49449,STARLINK-3137,SAT,-1306896.29,6095591.21,2760723.32,443.43,-1,10.0.3.234,49449,838.77,6818.049821014572
360000,SAT_57671,STARLINK-30296,SAT,-1450005.88,6099964.31,2759336.63,475.6,-1,10.0.3.41,57671,850.18,6850.256949412051
360000,SAT_65741,STARLINK-35284,SAT,-1053275.07,5482005.96,3966882.89,477.27,-1,10.0.3.206,65741,853.62,6848.206888049877
360000,SAT_59924,STARLINK-31958,SAT,-705331.43,5877528.06,3460932.86,484.51,-1,10.0.3.254,59924,864.41,6857.1776106253055
360000,SAT_55365,STARLINK-5639,SAT,-1059303.81,5587702.93,3963960.06,561.23,-1,10.0.3.30,55365,869.86,6932.353709461621
360000,SAT_67499,STARLINK-36558,SAT,-1495741.78,5342820.09,4026292.28,484.48,-1,10.0.3.179,67499,870.47,6855.216955759516
360000,SAT_53616,STARLINK-4605,SAT,-1643699.58,5396043.51,3995817.12,541.74,-1,10.0.3.66,53616,880.76,6912.712081924893
360000,SAT_63106,STARLINK-11584 [DTC],SAT,-1419285.02,5192903.71,4035454.02,357.54,-1,10.0.3.121,63106,885.48,6727.96462957872
360000,SAT_59534,STARLINK-31734,SAT,-1203570.62,6151356.43,2783164.04,483.52,-1,10.0.3.119,59534,887.3,6858.11710601231
360000,SAT_47734,STARLINK-2144,SAT,-954394.43,6124428.77,2916052.98,475.78,-1,10.0.3.49,47734,888.35,6850.026384546677
360000,SAT_59799,STARLINK-31810,SAT,-1046786.69,6147560.72,2853371.63,483.42,-1,10.0.3.129,59799,893.56,6857.841849979987
360000,SAT_56556,STARLINK-5302,SAT,-764705.38,5747016.16,3768253.66,542.91,-1,10.0.3.201,56556,911.95,6914.673145392014
360000,SAT_62836,STARLINK-11533 [DTC],SAT,-1038088.66,5287111.31,4030892.88,358.55,-1,10.0.3.106,62836,914.18,6728.987403791539
360000,SAT_67415,STARLINK-36468,SAT,-1549930.62,5304016.54,4058584.84,485.54,-1,10.0.3.95,67415,915.03,6856.164181733469
360000,SAT_64928,STARLINK-34248,SAT,-2043416.83,5351790.22,3753634.09,477.17,-1,10.0.3.158,64928,915.64,6848.867043652185
360000,SAT_46681,STARLINK-1775,SAT,-659126.69,5514459.8,3774175.62,343.41,-1,10.0.3.16,46681,920.33,6714.768535838654
360000,SAT_57352,STARLINK-6297,SAT,-1975303.39,5427782.48,3833946.7,561.09,-1,10.0.3.232,57352,922.4,6932.661352697198
360000,SAT_44768,STARLINK-1063,SAT,-2232814.8,5628503.99,3205262.2,477.78,-1,10.0.3.143,44768,934.09,6851.220684468849
360000,SAT_47733,STARLINK-2143,SAT,-929410.95,5476699.46,4004828.13,477.31,-1,10.0.3.48,47733,935.45,6848.115802173872
360000,SAT_57359,STARLINK-6347,SAT,-1298676.05,5434690.89,4102862.69,561.61,-1,10.0.3.239,57359,935.71,6932.2367822865535
360000,SAT_63587,STARLINK-33830,SAT,-666062.5,6023373.32,3209368.27,484.02,-1,10.0.3.92,63587,941.56,6857.456532744256
360000,SAT_66345,STARLINK-35440,SAT,-1700526.76,6082836.72,2668220.73,481.65,-1,10.0.3.45,66345,948.83,6856.536712339414
360000,SAT_55636,STARLINK-5218,SAT,-1277943.31,6235461.62,2790814.37,575.34,-1,10.0.3.46,55636,952.09,6950.019105431674
360000,SAT_67421,STARLINK-36431,SAT,-1951327.35,5284528.79,3903198.48,482.21,-1,10.0.3.101,67421,959.09,6853.384662593455
360000,SAT_53996,STARLINK-5131,SAT,-2041916.27,5949818.96,2870630.54,540.06,-1,10.0.3.191,53996,963.78,6914.498348227938
360000,SAT_56510,STARLINK-5339,SAT,-790125.47,6155000.04,3090948.53,558.83,-1,10.0.3.155,56510,964.87,6932.696918649472
360000,SAT_62453,STARLINK-32690,SAT,-579684.57,5947478.07,3346370.39,475.83,-1,10.0.3.233,62453,972.18,6848.848398153938
360000,SAT_54084,STARLINK-5183,SAT,-1275520.9,5381414.06,4146748.58,542.04,-1,10.0.3.24,54084,978.26,6912.459376895788
360000,SAT_48397,STARLINK-2590,SAT,-567018.7,5814347.44,3574561.24,476.48,-1,10.0.3.202,48397,979.42,6848.7688249563935
360000,SAT_49444,STARLINK-3126,SAT,-1722843.66,6134225.49,2686790.32,540.0,-1,10.0.3.229,49444,987.5,6914.893698576547
360000,SAT_55451,STARLINK-5656,SAT,-777995.68,6176716.79,3052209.64,559.5,-1,10.0.3.116,55451,993.42,6933.4761316727345
360000,SAT_59497,STARLINK-31720,SAT,-1832918.14,6056353.95,2644048.24,482.9,-1,10.0.3.82,59497,1000.73,6857.8424574401515
360000,SAT_57825,STARLINK-30377,SAT,-963236.85,5406733.99,4124215.39,497.62,-1,10.0.3.195,57825,1025.3,6868.023751482817
360000,SAT_57463,STARLINK-30091,SAT,-1284411.37,6225630.36,2581240.65,485.73,-1,10.0.3.88,57463,1044.91,6860.830069310231
360000,SAT_54012,STARLINK-5126,SAT,-559156.91,6066102.68,3270004.66,540.65,-1,10.0.3.207,54012,1052.64,6913.985005098409
360000,SAT_58843,STARLINK-31280,SAT,-475243.15,5919848.7,3412106.67,476.49,-1,10.0.3.193,58843,1053.71,6849.301906761893
360000,SAT_67325,STARLINK-36473,SAT,-638553.83,6155914.43,2952982.89,483.19,-1,10.0.3.5,67325,1078.12,6857.3421536279375
360000,SAT_55369,STARLINK-5644,SAT,-1646373.87,5256533.79,4209241.25,562.26,-1,10.0.3.34,55369,1088.95,6932.489185417609
360000,SAT_63105,STARLINK-11624 [DTC],SAT,-957460.89,5181808.33,4181596.12,357.23,-1,10.0.3.120,63105,1095.39,6727.080721645611
360000,SAT_67098,STARLINK-36205,SAT,-2375595.74,5461486.74,3575702.29,574.27,-1,10.0.3.33,67098,1118.55,6946.721485550808
360000,SAT_48386,STARLINK-2606,SAT,-2162931.95,5199671.22,3930638.62,496.55,-1,10.0.3.191,48386,1134.08,6867.661565442971
360000,SAT_57909,STARLINK-30463,SAT,-439130.05,5860171.36,3677150.61,560.13,-1,10.0.3.24,57909,1144.3,6932.23486171672
360000,SAT_67463,STARLINK-36505,SAT,-1101917.84,6279768.21,2525342.24,482.4,-1,10.0.3.143,67463,1144.42,6857.628243537637
360000,SAT_63704,STARLINK-33937,SAT,-853854.69,5331264.78,4212049.22,477.81,-1,10.0.3.209,63704,1148.75,6847.832548902321
360000,SAT_56557,STARLINK-6265,SAT,-2358581.9,5822780.12,2901659.66,545.7,-1,10.0.3.202,56557,1151.09,6920.065439527732
360000,SAT_54192,STARLINK-5268,SAT,-2479026.2,5444032.87,3466845.25,541.16,-1,10.0.3.132,54192,1182.02,6913.9048863413245
360000,SAT_53630,STARLINK-4598,SAT,-1125265.1,5263243.69,4336774.38,542.29,-1,10.0.3.80,53630,1189.64,6911.98724742944
360000,SAT_58711,STARLINK-31031,SAT,-1809044.91,5072747.95,4228924.06,477.61,-1,10.0.3.61,58711,1194.77,6847.569930703372
360000,SAT_49442,STARLINK-3098,SAT,-412924.29,5735225.06,3837171.41,541.3,-1,10.0.3.227,49442,1198.6,6912.82846509628
360000,SAT_65746,STARLINK-34704,SAT,-1494934.02,5091375.26,4327574.52,477.68,-1,10.0.3.211,65746,1199.14,6847.24988505945
360000,SAT_47804,STARLINK-2385,SAT,-2180255.32,5126186.55,4006353.85,490.82,-1,10.0.3.119,47804,1210.57,6861.6450634814255
360000,SAT_67347,STARLINK-36420,SAT,-512172.66,5506955.91,4052937.94,486.12,-1,10.0.3.27,67347,1216.55,6856.762368190023
360000,SAT_45096,STARLINK-1152,SAT,-1805130.49,6147621.48,2352383.08,449.77,-1,10.0.3.216,45096,1225.38,6825.353624710981
360000,SAT_57414,STARLINK-30193,SAT,-1579734.32,5135915.64,4353453.41,545.98,-1,10.0.3.39,57414,1228.83,6915.616138568066
360000,SAT_58440,STARLINK-30950,SAT,-401019.04,6156337.45,2994912.08,483.86,-1,10.0.3.45,58440,1238.95,6857.900949681685
360000,SAT_59312,STARLINK-31445,SAT,-789253.92,5291548.66,4286495.5,485.72,-1,10.0.3.152,59312,1245.43,6855.468812773012
360000,SAT_58864,STARLINK-31242,SAT,-1805499.44,5038682.66,4284367.67,486.18,-1,10.0.3.214,58864,1251.24,6855.94322524379
360000,SAT_48362,STARLINK-2578,SAT,-2377007.79,5852436.31,2651170.97,475.62,-1,10.0.3.167,48362,1260.37,6850.538979415987
360000,SAT_66211,STARLINK-35723,SAT,-2414609.4,5152899.96,3810236.91,476.91,-1,10.0.3.166,66211,1270.45,6848.402869477139
360000,SAT_59500,STARLINK-31512,SAT,-1308568.44,5073569.4,4421036.84,486.36,-1,10.0.3.85,59500,1284.14,6855.583458715792
360000,SAT_59555,STARLINK-31730,SAT,-1834018.85,6189751.37,2314993.45,482.58,-1,10.0.3.140,59555,1288.31,6858.268136936255
360000,SAT_67416,STARLINK-36487,SAT,-2529736.17,5221178.9,3647934.64,481.24,-1,10.0.3.96,67416,1292.2,6853.298573192577
360000,SAT_65408,STARLINK-35008,SAT,-1985025.58,4970047.95,4220891.15,446.07,-1,10.0.3.128,65408,1295.35,6815.983075001131
360000,SAT_59303,STARLINK-31504,SAT,-2631429.98,5443856.19,3233133.45,483.25,-1,10.0.3.143,59303,1297.87,6856.613293934041
